"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"Rt_adj[51]",2.0121320686656,0.00748024036010424,0.420754844533681,1.20053973770499,1.72946597815994,1.99845501891821,2.28293030900033,2.88857028754857,3163.93202174847,0.999963357325205
"Rt_adj[52]",1.87979210899939,0.0066564712390921,0.382932333097636,1.16161864939939,1.61519098999485,1.8722877215161,2.11736314136391,2.67331772348475,3309.45100421879,0.999627280127812
"Rt_adj[53]",1.7969081182008,0.00627032956700482,0.345308409606703,1.17096713518752,1.5581108196833,1.7798540352345,2.02836522299723,2.52175469156519,3032.72879498589,0.999806586870576
"Rt_adj[54]",1.77773373142679,0.00556976860632599,0.326791788186944,1.17737482973126,1.5484441030398,1.76256372843335,1.99394320125267,2.44350420551525,3442.4525571376,0.999564290791355
"Rt_adj[55]",1.83370075910786,0.00559308508856033,0.31711273414286,1.23886270426367,1.62125160493885,1.82156381393541,2.03987283158893,2.47803467597989,3214.5820219092,0.99946094044132
"Rt_adj[56]",1.84507736050699,0.00522873482545015,0.301273559162927,1.28032092322456,1.63885705273775,1.83871446733065,2.04317645216262,2.44723971994859,3319.92904471638,1.00058883890192
"Rt_adj[57]",1.71354174917214,0.00454548026361475,0.267649135724805,1.21933209329335,1.52965369843953,1.70810930673793,1.88555714715188,2.26804990468844,3467.14606264212,1.0006298049723
"Rt_adj[58]",1.44020068187926,0.0043482768303019,0.23701532711026,0.999982225421769,1.27619297822632,1.43578318124726,1.5957176497829,1.92227300363649,2971.10836628444,0.99978938652212
"Rt_adj[59]",1.14879346576668,0.00362416751565834,0.203368282938767,0.770712127769119,1.00907879298784,1.14506254574323,1.2810649167082,1.57602550794321,3148.835093732,1.00003006563278
"Rt_adj[60]",0.962399824558027,0.00293837351487936,0.173466089013866,0.634275256227091,0.842582235931239,0.956043043824588,1.07821400594223,1.31495071626013,3485.09942347534,0.999499988822364
"Rt_adj[61]",0.881097261847295,0.00289903422649753,0.159779503058325,0.575465139912948,0.770825117019064,0.879886610349162,0.985994968620359,1.20809398405615,3037.63401065952,1.00027494531637
"Rt_adj[62]",0.88446775777609,0.00277175082484112,0.15634762562842,0.586455655942558,0.77662586217092,0.885579495736544,0.989242957082797,1.19884262557476,3181.80975913782,0.999737673533377
"Rt_adj[63]",0.924585161400923,0.00293876111383569,0.16269537022704,0.622240769971464,0.81247206582576,0.916158753759752,1.034591398691,1.25019126568709,3064.93889099437,0.999582864440906
"Rt_adj[64]",0.986308630924578,0.0031218963542204,0.170944544178807,0.659883106183576,0.874439575542926,0.9830537483835,1.09556763066628,1.33717861371067,2998.28925202144,0.999528061434514
"Rt_adj[65]",1.03132084863175,0.00305221084094791,0.173407673158386,0.698234121273108,0.9158108425946,1.02577485289517,1.14003172221919,1.38999006205488,3227.80700983892,1.00010019432615
"Rt_adj[66]",1.05157631254083,0.00318710027138821,0.172846879444398,0.72894053024768,0.930171036367806,1.04635428097117,1.16419477400105,1.40119284609506,2941.24791213013,0.999812282859251
"Rt_adj[67]",1.06380567913708,0.00312489268725711,0.173395239332629,0.748180639077745,0.945339814784293,1.05508976934701,1.18172571095336,1.41136058597018,3078.96054383561,0.9995284182964
"Rt_adj[68]",1.06634393503378,0.00303341363925611,0.171991564148256,0.744223086173506,0.948198700198411,1.0610839502016,1.17818496315319,1.4196369292433,3214.7782539282,0.99984293539637
"Rt_adj[69]",1.03974122954077,0.00294295949800117,0.166786682035092,0.733319324000021,0.924006091058103,1.03071507014388,1.14783563221116,1.38609222147521,3211.8419624371,1.00039266153997
"Rt_adj[70]",0.994523991276533,0.00289188047139471,0.163721194880616,0.6881818669837,0.883011432693695,0.989355108652117,1.09744926993715,1.33271577176606,3205.1557191702,0.999695583336626
"Rt_adj[71]",0.941038856449794,0.00270825328055607,0.15292013633421,0.653731946918282,0.836367036324829,0.937125983195862,1.04207464636956,1.26496302838468,3188.23846653556,1.0005293755536
"Rt_adj[72]",0.898661935974683,0.00251379344764106,0.145615384510322,0.623113109626398,0.798517790143693,0.896643856030308,0.992533566617485,1.20044642201266,3355.48531822519,0.999478034877775
"Rt_adj[73]",0.857937732582851,0.00253634588536924,0.146171763519349,0.588844847046675,0.75963708280003,0.85400838824267,0.951581736356344,1.15673650157564,3321.31461048844,0.999775330891357
"Rt_adj[74]",0.818284765066326,0.00255222932501022,0.142831291125669,0.546857592360831,0.719329576442046,0.81759894059137,0.912859888137813,1.11208509233768,3131.89602266358,1.00020098342785
"Rt_adj[75]",0.798418437731196,0.00244800852064481,0.141232578647434,0.532012519901229,0.699681408870621,0.795830239198054,0.893273740544351,1.08343196405226,3328.46448236937,1.00060105930202
"Rt_adj[76]",0.837759886757436,0.00251082110794347,0.142655392152131,0.573247600683418,0.740308502327784,0.832244170198881,0.932983785086208,1.12641960640137,3228.08410882611,0.999514722419729
"Rt_adj[77]",0.979131138806674,0.00274286555461477,0.157806078271282,0.679964622700912,0.867308539332053,0.978486301243119,1.08217822810184,1.29003386296041,3310.07941151644,1.00007057575075
"Rt_adj[78]",1.28757569426736,0.00314112133110485,0.177763336091713,0.955138323769653,1.1636343858446,1.28430323675602,1.409003402157,1.63938103049695,3202.69041500358,0.999429872298664
